chunk_index,page,text
0,1,"**PT. SULAWESI CAHAYA MINERAL**

**Merdeka Battery Materials**

---

**Physicals – Jan 2024**"
1,1,"|                       | January-24  |          | Month                    |         |         |       | YTD                |         |          |
|-----------------------|-------------|----------|--------------------------|---------|---------|-------|--------------------|---------|----------|
|                       | Unit        | Actual   | 2024-B                   | Var vs Budget | Actual | 2024-B | Var vs Budget       | Full Year 2024 |
| **Mining**            |             |          |                          |         |         |       |                    |         |          |
| Ore mined             | wmt         | 525,442  | 854,814                  | (329,372) | 525,442 | 854,814 | (329,372)         | 11,000,711     |"
2,1,"| Limonite Ore Mined    | wmt         | 349,028  | 710,974                  | (361,946) | 349,028 | 710,974 | (361,946)         | 7,397,287      |
| Saprolite Ore Mined   | wmt         | 176,415  | 143,840                  | 32,575  | 176,415 | 143,840 | 32,575            | 3,603,425      |
| Waste Mined           | wmt         | 115,151  | 213,961                  | (98,810) | 115,151 | 213,961 | (98,810)          | 3,518,916      |
| **Total Mined**       | wmt         | 640,593  | 1,068,775                | (428,182) | 640,593 | 1,068,775 | (428,182)         | 14,519,628     |
| Mined Limonite Nickel Grade | % Ni  | 1.16     | 1.10                     | 0.06     | 1.16    | 1.10  | 0.06               | 1.18          |"
3,1,"| Contained Limonite Nickel  | t Ni   | 2,574    | 4,301                    | (1,728)  | 2,574   | 4,301 | (1,727.68)        | 47,858        |
| Mined Saprolite Nickel Grade | % Ni | 1.69     | 1.52                     | 0.17     | 1.69    | 1.52  | 0.17               | 1.60          |
| Contained Saprolite Nickel  | t Ni  | 1,734.43 | 1,356                    | 379      | 1,734   | 1,356 | 378.88             | 35,763        |
| Mining cost per total tonnes mined | US$/t | 8.5 | 4.8                   | 3.8      | 8.5     | 4.8    | 3.8               | 4.3           |"
4,1,---
5,1,"Nickel Ore Mined Jan 24 was unfavorable performance against the Budget overall majority due to:
- Total material movement in Jan 24 is below than the target (actual 640 kt vs plan 1,068 kt) due to only running 6 fleet (of 8 fleet). It is caused by fuel supply (land slide), high rain fall, lack of manpower support equipment in mid Jan, and end of Jan due to DT breakdown.
- Grade of ore limonite (1.16%) above from the plan (1.10%) due to we hauled some of additional Limonite from stock in pit not hauled yet in Dec’23 (higher grade), and the saprolite’s grade actual 1.69% above from plan (1.52%) due to some of the HGLO actually mined part of HGSO.
- Saprolite ore mined is 176 kt above than plan 143 kt, due to mining sequence.
- The variance majorly cost $/tmm came from:"
6,1,"- The variance majorly cost $/tmm came from:
  - $2.45/tmm unbudgeted FPP Limonite fuel (originally 2024B setup in Ore Haulage)
  - $0.29/tmm PB Mobilization 2023
  - $0.33/tmm idle PB May 14943
  - $0.65/tmm Mine Dev activity"
7,1,Member of MBM
8,2,"**Physicals – Feb 2024**

PT. SULAWESI CAHAYA MINERAL"
9,2,"| February-24          | Unit   | Actual | 2024-B  | Var vs Budget   | Actual   | 2024-B  | Var vs Budget   | Full Year 2024 |
|----------------------|--------|--------|---------|-----------------|----------|---------|-----------------|----------------|
| Mining               |        |        |         |                 |          |         |                 |                |
| Ore mined            | wmt    | 389,794| 923,164 |(533,370)        | 915,236  | 1,777,979|(862,742)        | 11,000,711     |
|  Limonite Ore Mined  | wmt    | 249,603| 675,251 |(425,648)        | 598,631  | 1,386,225|(787,594)        | 7,397,287      |
|  Saprolite Ore Mined | wmt    | 140,191| 247,913 |(107,723)        | 316,606  | 391,754 |(75,148)         | 3,603,425      |"
